COOPID, YEAR, MONTH, DAY, meanTemp
80211,2022,8,20,83.00000
80211,2022,8,21,83.00000
80211,2022,8,22,83.00000
80211,2022,8,23,81.50000
80211,2022,8,24,79.50000
80211,2022,8,25,83.00000
80211,2022,8,26,81.50000
80211,2022,8,27,81.50000
80211,2022,8,28,80.50000
80211,2022,8,29,81.00000
80211,2022,8,30,83.00000
80211,2022,8,31,82.50000
80211,2022,9,1,81.00000
80211,2022,9,2,80.00000
80211,2022,9,3,82.00000
80211,2022,9,4,82.00000
80211,2022,9,5,83.00000
80211,2022,9,6,82.50000
80211,2022,9,7,82.00000
80211,2022,9,8,79.50000
80211,2022,9,9,79.50000
80211,2022,9,10,79.00000
80211,2022,9,11,80.00000
80211,2022,9,12,78.50000
80211,2022,9,13,80.00000
80211,2022,9,14,78.50000
80211,2022,9,15,78.00000
80211,2022,9,16,79.00000
80211,2022,9,17,80.50000
80211,2022,9,18,81.00000
80211,2022,9,19,81.00000
80211,2022,9,20,81.00000
80211,2022,9,21,80.50000
80211,2022,9,22,82.50000
80211,2022,9,23,81.00000
80211,2022,9,24,77.50000
80211,2022,9,25,77.50000
80211,2022,9,26,82.50000
80211,2022,9,27,74.50000
80211,2022,9,28,71.50000
80211,2022,9,29,72.00000
80211,2022,9,30,71.00000
80211,2022,10,1,72.00000
80211,2022,10,2,71.50000
80211,2022,10,3,71.50000
80211,2022,10,4,66.50000
80211,2022,10,5,68.00000
80211,2022,10,6,70.50000
80211,2022,10,7,69.50000
80211,2022,10,8,73.50000
80211,2022,10,9,74.00000
80211,2022,10,10,70.00000
80211,2022,10,11,70.50000
80211,2022,10,12,76.00000
80211,2022,10,13,78.00000
80211,2022,10,14,71.50000
80211,2022,10,15,69.50000
80211,2022,10,16,72.00000
80211,2022,10,17,73.50000
80211,2022,10,18,59.50000
80211,2022,10,19,52.50000
80211,2022,10,20,52.50000
80211,2022,10,21,58.50000
80211,2022,10,22,58.00000
80211,2022,10,23,62.00000
80211,2022,10,24,64.00000
80211,2022,10,25,70.00000
80211,2022,10,26,70.50000
80211,2022,10,27,65.00000
80211,2022,10,28,67.00000
80211,2022,10,29,71.00000
80211,2022,10,30,73.00000
80211,2022,10,31,71.00000
80211,2022,11,1,70.50000
80211,2022,11,2,69.50000
80211,2022,11,3,72.50000
80211,2022,11,4,69.50000
80211,2022,11,5,73.00000
80211,2022,11,6,76.00000
80211,2022,11,7,74.00000
80211,2022,11,8,76.00000
80211,2022,11,9,66.00000
80211,2022,11,10,65.00000
80211,2022,11,11,71.50000
80211,2022,11,12,69.00000
80211,2022,11,13,55.00000
80211,2022,11,14,54.50000
80211,2022,11,15,69.50000
80211,2022,11,16,57.50000
80211,2022,11,17,53.00000
80211,2022,11,18,49.50000
80211,2022,11,19,50.50000
80211,2022,11,20,46.50000
80211,2022,11,21,55.50000
80211,2022,11,22,61.50000
80211,2022,11,23,68.50000
80211,2022,11,24,65.00000
80211,2022,11,25,73.50000
80211,2022,11,26,67.00000
80211,2022,11,27,63.00000
80211,2022,11,28,65.00000
80211,2022,11,29,65.50000
80211,2022,11,30,66.50000
80211,2022,12,1,56.00000
80211,2022,12,2,59.50000
80211,2022,12,3,64.50000
80211,2022,12,4,66.50000
80211,2022,12,5,63.50000
80211,2022,12,6,69.50000
80211,2022,12,7,69.00000
80211,2022,12,8,69.50000
80211,2022,12,9,69.50000
80211,2022,12,10,60.50000
80211,2022,12,11,66.50000
80211,2022,12,12,69.00000
80211,2022,12,13,65.50000
80211,2022,12,14,69.00000
80211,2022,12,15,59.50000
80211,2022,12,16,53.50000
80211,2022,12,17,53.50000
80211,2022,12,18,48.00000
80211,2022,12,19,48.00000
80211,2022,12,20,56.50000
80211,2022,12,21,51.00000
80211,2022,12,22,55.50000
80211,2022,12,23,42.00000
80211,2022,12,24,30.50000
80211,2022,12,25,35.50000
80211,2022,12,26,40.00000
80211,2022,12,27,45.50000
80211,2022,12,28,49.00000
80211,2022,12,29,60.00000
80211,2022,12,30,60.50000
80211,2022,12,31,66.00000
80211,2023,1,1,66.50000
80211,2023,1,2,64.50000
80211,2023,1,3,69.00000
80211,2023,1,4,65.00000
80211,2023,1,5,61.00000
80211,2023,1,6,53.50000
80211,2023,1,7,52.00000
80211,2023,1,8,54.00000
80211,2023,1,9,59.50000
80211,2023,1,10,54.50000
80211,2023,1,11,59.00000
80211,2023,1,12,70.00000
80211,2023,1,13,51.50000
80211,2023,1,14,45.50000
80211,2023,1,15,42.00000
80211,2023,1,16,48.50000
80211,2023,1,17,65.50000
80211,2023,1,18,68.50000
80211,2023,1,19,67.00000
80211,2023,1,20,61.00000
80211,2023,1,21,55.00000
80211,2023,1,22,66.00000
80211,2023,1,23,52.00000
80211,2023,1,24,53.00000
80211,2023,1,25,59.00000
80211,2023,1,26,49.50000
80211,2023,1,27,49.00000
80211,2023,1,28,48.50000
80211,2023,1,29,65.50000
80211,2023,1,30,69.00000
80211,2023,1,31,69.00000
80211,2023,2,1,69.50000
80211,2023,2,2,68.00000
80211,2023,2,3,60.50000
80211,2023,2,4,52.00000
80211,2023,2,5,60.00000
80211,2023,2,6,59.00000
80211,2023,2,7,57.50000
80211,2023,2,8,64.50000
80211,2023,2,9,68.50000
80211,2023,2,10,62.50000
80211,2023,2,11,60.50000
80211,2023,2,12,52.00000
80211,2023,2,13,53.00000
80211,2023,2,14,55.00000
80211,2023,2,15,60.00000
80211,2023,2,16,67.00000
80211,2023,2,17,59.50000
80211,2023,2,18,49.50000
80211,2023,2,19,57.50000
80211,2023,2,20,62.00000
80211,2023,2,21,69.00000
80211,2023,2,22,71.50000
80211,2023,2,23,73.50000
80211,2023,2,24,73.50000
80211,2023,2,25,72.00000
80211,2023,2,26,71.00000
80211,2023,2,27,71.50000
80211,2023,2,28,73.00000
80211,2023,3,1,72.00000
80211,2023,3,2,72.00000
80211,2023,3,3,72.00000
80211,2023,3,4,70.00000
80211,2023,3,5,66.50000
80211,2023,3,6,69.50000
80211,2023,3,7,74.50000
80211,2023,3,8,69.00000
80211,2023,3,9,66.50000
80211,2023,3,10,69.50000
80211,2023,3,11,61.00000
80211,2023,3,12,71.50000
80211,2023,3,13,66.50000
80211,2023,3,14,57.50000
80211,2023,3,15,51.50000
80211,2023,3,16,55.00000
80211,2023,3,17,72.00000
80211,2023,3,18,58.50000
80211,2023,3,19,49.50000
80211,2023,3,20,48.50000
80211,2023,3,21,51.50000
80211,2023,3,22,60.50000
80211,2023,3,23,67.00000
80211,2023,3,24,68.50000
80211,2023,3,25,74.00000
80211,2023,3,26,75.50000
80211,2023,3,27,76.00000
80211,2023,3,28,72.50000
80211,2023,3,29,64.50000
80211,2023,3,30,63.00000
80211,2023,3,31,66.50000
80211,2023,4,1,74.00000
80211,2023,4,2,71.50000
80211,2023,4,3,74.50000
80211,2023,4,4,74.00000
80211,2023,4,5,74.00000
80211,2023,4,6,74.00000
80211,2023,4,7,73.50000
80211,2023,4,8,72.00000
80211,2023,4,9,57.00000
80211,2023,4,10,59.00000
80211,2023,4,11,65.50000
80211,2023,4,12,66.50000
80211,2023,4,13,70.50000
80211,2023,4,14,72.00000
80211,2023,4,15,69.00000
80211,2023,4,16,72.00000
80211,2023,4,17,64.00000
80211,2023,4,18,61.50000
80211,2023,4,19,67.50000
80211,2023,4,20,66.00000
80211,2023,4,21,66.50000
80211,2023,4,22,75.00000
80211,2023,4,23,66.50000
80211,2023,4,24,69.00000
80211,2023,4,25,69.50000
80211,2023,4,26,71.50000
80211,2023,4,27,70.50000
80211,2023,4,28,72.50000
80211,2023,4,29,72.00000
80211,2023,4,30,70.50000
80211,2023,5,1,71.00000
80211,2023,5,2,70.50000
80211,2023,5,3,69.50000
80211,2023,5,4,66.00000
80211,2023,5,5,68.00000
80211,2023,5,6,71.50000
80211,2023,5,7,73.00000
80211,2023,5,8,72.00000
80211,2023,5,9,76.00000
80211,2023,5,10,77.50000
80211,2023,5,11,76.00000
80211,2023,5,12,77.00000
80211,2023,5,13,76.50000
80211,2023,5,14,78.50000
80211,2023,5,15,78.00000
80211,2023,5,16,78.00000
80211,2023,5,17,79.50000
80211,2023,5,18,76.00000
80211,2023,5,19,76.50000
80211,2023,5,20,77.00000
80211,2023,5,21,80.00000
80211,2023,5,22,80.50000
80211,2023,5,23,75.00000
80211,2023,5,24,74.50000
80211,2023,5,25,76.50000
80211,2023,5,26,72.00000
80211,2023,5,27,72.50000
80211,2023,5,28,69.00000
80211,2023,5,29,74.00000
80211,2023,5,30,74.00000
80211,2023,5,31,74.00000
80211,2023,6,1,77.00000
80211,2023,6,2,77.50000
80211,2023,6,3,76.00000
80211,2023,6,4,76.50000
80211,2023,6,5,75.00000
80211,2023,6,6,76.00000
80211,2023,6,7,76.00000
80211,2023,6,8,78.50000
80211,2023,6,9,82.00000
80211,2023,6,10,79.50000
80211,2023,6,11,79.50000
80211,2023,6,12,84.00000
80211,2023,6,13,84.50000
80211,2023,6,14,79.50000
80211,2023,6,15,81.00000
80211,2023,6,16,84.00000
80211,2023,6,17,80.00000
80211,2023,6,18,79.50000
80211,2023,6,19,77.50000
80211,2023,6,20,81.00000
80211,2023,6,21,78.00000
80211,2023,6,22,78.50000
80211,2023,6,23,80.50000
80211,2023,6,24,83.50000
80211,2023,6,25,81.50000
80211,2023,6,26,85.00000
80211,2023,6,27,87.50000
80211,2023,6,28,86.00000
80211,2023,6,29,84.00000
80211,2023,6,30,83.00000
80211,2023,7,1,85.00000
80211,2023,7,2,84.00000
80211,2023,7,3,83.00000
80211,2023,7,4,85.50000
80211,2023,7,5,84.00000
80211,2023,7,6,84.00000
80211,2023,7,7,84.50000
80211,2023,7,8,86.50000
80211,2023,7,9,82.50000
80211,2023,7,10,80.50000
80211,2023,7,11,83.50000
80211,2023,7,12,82.00000
80211,2023,7,13,81.00000
80211,2023,7,14,78.50000
80211,2023,7,15,81.50000
80211,2023,7,16,83.50000
80211,2023,7,17,83.50000
80211,2023,7,18,83.50000
80211,2023,7,19,83.50000
80211,2023,7,20,83.00000
80211,2023,7,21,85.50000
80211,2023,7,22,87.00000
80211,2023,7,23,78.50000
80211,2023,7,24,81.50000
80211,2023,7,25,82.50000
80211,2023,7,26,81.50000
80211,2023,7,27,83.00000
80211,2023,7,28,83.50000
80211,2023,7,29,84.50000
80211,2023,7,30,86.50000
80211,2023,7,31,84.00000
80211,2023,8,1,86.00000
80211,2023,8,2,83.50000
80211,2023,8,3,85.00000
80211,2023,8,4,85.50000
80211,2023,8,5,81.00000
80211,2023,8,6,85.00000
80211,2023,8,7,86.50000
80211,2023,8,8,88.00000
80211,2023,8,9,87.50000
80211,2023,8,10,87.50000
80211,2023,8,11,87.00000
80211,2023,8,12,86.00000
80211,2023,8,13,86.00000
80211,2023,8,14,88.00000
80211,2023,8,15,87.50000
80211,2023,8,16,84.50000
80211,2023,8,17,84.50000
80211,2023,8,18,86.50000
80211,2023,8,19,85.00000
80211,2023,8,20,84.00000
80211,2023,8,21,85.50000
80211,2023,8,22,84.50000
80211,2023,8,23,87.50000
80211,2023,8,24,85.00000
80211,2023,8,25,84.50000
80211,2023,8,26,84.00000
80211,2023,8,27,85.00000
80211,2023,8,28,84.00000
80211,2023,8,29,84.00000
80211,2023,8,30,83.00000
80211,2023,8,31,83.50000
80211,2023,9,1,82.50000
80211,2023,9,2,80.50000
80211,2023,9,3,80.50000
80211,2023,9,4,80.00000
80211,2023,9,5,80.00000
80211,2023,9,6,79.00000
80211,2023,9,7,80.00000
80211,2023,9,8,81.00000
80211,2023,9,9,80.50000
80211,2023,9,10,80.50000
80211,2023,9,11,81.00000
80211,2023,9,12,81.00000
80211,2023,9,13,80.50000
80211,2023,9,14,81.00000
80211,2023,9,15,82.00000
80211,2023,9,16,81.50000
80211,2023,9,17,81.50000
80211,2023,9,18,77.00000
80211,2023,9,19,74.00000
80211,2023,9,20,76.50000
80211,2023,9,21,79.50000
80211,2023,9,22,77.50000
80211,2023,9,23,75.00000
80211,2023,9,24,75.50000
80211,2023,9,25,76.00000
80211,2023,9,26,78.00000
80211,2023,9,27,77.00000
80211,2023,9,28,76.00000
80211,2023,9,29,76.00000
80211,2023,9,30,78.00000
80211,2023,10,1,78.00000
80211,2023,10,2,77.00000
80211,2023,10,3,75.00000
80211,2023,10,4,76.00000
80211,2023,10,5,75.50000
80211,2023,10,6,75.00000
80211,2023,10,7,75.00000
80211,2023,10,8,64.00000
80211,2023,10,9,62.50000
80211,2023,10,10,66.50000
80211,2023,10,11,70.00000
80211,2023,10,12,75.00000
80211,2023,10,13,71.50000
80211,2023,10,14,75.00000
80211,2023,10,15,65.00000
80211,2023,10,16,60.00000
80211,2023,10,17,59.50000
80211,2023,10,18,61.00000
80211,2023,10,19,64.50000
80211,2023,10,20,69.50000
80211,2023,10,21,69.00000
80211,2023,10,22,71.50000
80211,2023,10,23,71.50000
80211,2023,10,24,70.50000
80211,2023,10,25,71.50000
80211,2023,10,26,73.00000
80211,2023,10,27,72.50000
80211,2023,10,28,71.50000
80211,2023,10,29,72.00000
80211,2023,10,30,72.00000
80211,2023,10,31,70.00000
80211,2023,11,1,55.00000
80211,2023,11,2,56.50000
80211,2023,11,3,64.00000
80211,2023,11,4,66.00000
80211,2023,11,5,63.50000
80211,2023,11,6,63.00000
80211,2023,11,7,64.50000
80211,2023,11,8,61.50000
80211,2023,11,9,65.00000
80211,2023,11,10,69.00000
80211,2023,11,11,74.50000
80211,2023,11,12,67.00000
80211,2023,11,13,65.50000
80211,2023,11,14,63.50000
80211,2023,11,15,65.00000
80211,2023,11,16,70.50000
80211,2023,11,17,70.50000
80211,2023,11,18,70.50000
80211,2023,11,19,62.50000
80211,2023,11,20,62.00000
80211,2023,11,21,69.50000
80211,2023,11,22,61.50000
80211,2023,11,23,50.50000
80211,2023,11,24,57.00000
80211,2023,11,25,60.00000
80211,2023,11,26,61.00000
80211,2023,11,27,54.50000
80211,2023,11,28,49.50000
80211,2023,11,29,46.50000
80211,2023,11,30,48.50000
80211,2023,12,1,66.50000
80211,2023,12,2,69.50000
80211,2023,12,3,70.00000
80211,2023,12,4,63.00000
80211,2023,12,5,57.00000
80211,2023,12,6,51.00000
80211,2023,12,7,50.00000
80211,2023,12,8,58.50000
80211,2023,12,9,69.00000
80211,2023,12,10,59.50000
80211,2023,12,11,51.00000
80211,2023,12,12,50.50000
80211,2023,12,13,58.00000
80211,2023,12,14,60.50000
80211,2023,12,15,59.00000
80211,2023,12,16,59.50000
80211,2023,12,17,60.00000
80211,2023,12,18,54.00000
80211,2023,12,19,48.50000
80211,2023,12,20,48.00000
80211,2023,12,21,53.50000
80211,2023,12,22,57.50000
80211,2023,12,23,59.50000
80211,2023,12,24,61.50000
80211,2023,12,25,65.50000
80211,2023,12,26,61.50000
80211,2023,12,27,56.50000
80211,2023,12,28,56.00000
80211,2023,12,29,46.50000
80211,2023,12,30,49.00000
80211,2023,12,31,47.00000
80211,2024,1,1,57.00000
80211,2024,1,2,44.50000
80211,2024,1,3,45.00000
80211,2024,1,4,50.50000
80211,2024,1,5,50.00000
80211,2024,1,6,62.00000
80211,2024,1,7,50.00000
80211,2024,1,8,53.50000
80211,2024,1,9,59.50000
80211,2024,1,10,50.00000
80211,2024,1,11,52.00000
80211,2024,1,12,64.00000
80211,2024,1,13,53.00000
80211,2024,1,14,48.50000
80211,2024,1,15,51.50000
80211,2024,1,16,46.50000
80211,2024,1,17,39.00000
80211,2024,1,18,46.00000
80211,2024,1,19,57.50000
80211,2024,1,20,43.00000
80211,2024,1,21,40.00000
80211,2024,1,22,49.00000
80211,2024,1,23,60.00000
80211,2024,1,24,64.00000
80211,2024,1,25,65.50000
80211,2024,1,26,69.00000
80211,2024,1,27,67.00000
80211,2024,1,28,56.00000
80211,2024,1,29,54.00000
80211,2024,1,30,49.00000
80211,2024,1,31,58.50000
80211,2024,2,1,49.50000
80211,2024,2,2,54.50000
80211,2024,2,3,53.00000
80211,2024,2,4,57.50000
80211,2024,2,5,56.50000
80211,2024,2,6,57.00000
80211,2024,2,7,51.50000
80211,2024,2,8,56.50000
80211,2024,2,9,60.00000
80211,2024,2,10,66.00000
80211,2024,2,11,69.00000
80211,2024,2,12,66.00000
80211,2024,2,13,53.50000
80211,2024,2,14,50.50000
80211,2024,2,15,56.00000
80211,2024,2,16,56.50000
80211,2024,2,17,56.00000
80211,2024,2,18,46.00000
80211,2024,2,19,50.50000
80211,2024,2,20,50.50000
80211,2024,2,21,51.50000
80211,2024,2,22,54.50000
80211,2024,2,23,66.50000
80211,2024,2,24,60.00000
80211,2024,2,25,55.50000
80211,2024,2,26,55.50000
80211,2024,2,27,69.00000
80211,2024,2,28,69.50000
80211,2024,2,29,61.50000
80211,2024,3,1,63.50000
80211,2024,3,2,67.50000
80211,2024,3,3,65.00000
80211,2024,3,4,65.50000
80211,2024,3,5,67.00000
80211,2024,3,6,67.50000
80211,2024,3,7,64.50000
80211,2024,3,8,64.00000
80211,2024,3,9,70.50000
80211,2024,3,10,62.00000
80211,2024,3,11,55.00000
80211,2024,3,12,56.00000
80211,2024,3,13,60.50000
80211,2024,3,14,64.50000
80211,2024,3,15,69.50000
80211,2024,3,16,72.50000
80211,2024,3,17,67.50000
80211,2024,3,18,65.50000
80211,2024,3,19,52.00000
80211,2024,3,20,54.00000
80211,2024,3,21,58.00000
80211,2024,3,22,63.50000
80211,2024,3,23,68.00000
80211,2024,3,24,64.00000
80211,2024,3,25,67.50000
80211,2024,3,26,69.50000
80211,2024,3,27,68.00000
80211,2024,3,28,67.00000
80211,2024,3,29,59.00000
80211,2024,3,30,60.00000
80211,2024,3,31,64.00000
80211,2024,4,1,69.00000
80211,2024,4,2,73.00000
80211,2024,4,3,67.50000
80211,2024,4,4,58.50000
80211,2024,4,5,62.50000
80211,2024,4,6,59.00000
80211,2024,4,7,60.50000
80211,2024,4,8,64.00000
80211,2024,4,9,67.50000
80211,2024,4,10,72.50000
80211,2024,4,11,67.50000
80211,2024,4,12,65.50000
80211,2024,4,13,65.00000
80211,2024,4,14,65.00000
80211,2024,4,15,64.50000
80211,2024,4,16,67.00000
80211,2024,4,17,68.50000
80211,2024,4,18,70.50000
80211,2024,4,19,72.50000
80211,2024,4,20,71.50000
80211,2024,4,21,69.00000
80211,2024,4,22,64.00000
80211,2024,4,23,62.00000
80211,2024,4,24,62.50000
80211,2024,4,25,69.00000
80211,2024,4,26,69.50000
80211,2024,4,27,74.50000
80211,2024,4,28,71.50000
80211,2024,4,29,71.50000
80211,2024,4,30,74.00000
80211,2024,5,1,77.00000
80211,2024,5,2,75.00000
80211,2024,5,3,75.00000
80211,2024,5,4,76.50000
80211,2024,5,5,76.50000
80211,2024,5,6,77.00000
80211,2024,5,7,76.00000
80211,2024,5,8,80.50000
80211,2024,5,9,83.00000
80211,2024,5,10,75.00000
80211,2024,5,11,75.50000
80211,2024,5,12,73.00000
80211,2024,5,13,74.50000
80211,2024,5,14,75.50000
80211,2024,5,15,81.00000
80211,2024,5,16,79.50000
80211,2024,5,17,73.50000
80211,2024,5,18,77.00000
80211,2024,5,19,79.50000
80211,2024,5,20,76.50000
80211,2024,5,21,75.50000
80211,2024,5,22,76.50000
80211,2024,5,23,78.00000
80211,2024,5,24,77.50000
80211,2024,5,25,81.00000
80211,2024,5,26,80.00000
80211,2024,5,27,82.50000
80211,2024,5,28,85.00000
80211,2024,5,29,83.00000
80211,2024,5,30,80.50000
80211,2024,5,31,79.00000
80211,2024,6,1,75.00000
80211,2024,6,2,77.00000
80211,2024,6,3,80.50000
80211,2024,6,4,79.50000
80211,2024,6,5,80.50000
80211,2024,6,6,81.50000
80211,2024,6,7,84.50000
80211,2024,6,8,81.50000
80211,2024,6,9,81.00000
80211,2024,6,10,83.00000
80211,2024,6,11,83.00000
80211,2024,6,12,84.00000
80211,2024,6,13,82.50000
80211,2024,6,14,82.50000
80211,2024,6,15,82.50000
80211,2024,6,16,83.50000
80211,2024,6,17,82.50000
80211,2024,6,18,85.00000
80211,2024,6,19,83.50000
80211,2024,6,20,82.00000
80211,2024,6,21,81.00000
80211,2024,6,22,84.50000
80211,2024,6,23,84.50000
80211,2024,6,24,84.50000
80211,2024,6,25,88.00000
80211,2024,6,26,87.00000
80211,2024,6,27,83.50000
80211,2024,6,28,82.50000
80211,2024,6,29,86.00000
80211,2024,6,30,86.00000
80211,2024,7,1,84.00000
80211,2024,7,2,80.50000
80211,2024,7,3,83.50000
80211,2024,7,4,84.50000
80211,2024,7,5,85.00000
80211,2024,7,6,85.50000
80211,2024,7,7,86.00000
80211,2024,7,8,85.00000
80211,2024,7,9,88.00000
80211,2024,7,10,87.00000
80211,2024,7,11,86.00000
80211,2024,7,12,86.00000
80211,2024,7,13,85.00000
80211,2024,7,14,84.00000
80211,2024,7,15,84.00000
80211,2024,7,16,84.00000
80211,2024,7,17,84.00000
