"FAWN Station","Period","10m T avg (F)","10m T min (F)","10m T max (F)","Tsoil avg-10cm  (F)","Tsoil min(avg)-10cm  (F)","Tsoil max(avg)-10cm  (F)","2m DewPt avg (F)","RelHum avg 2m  (pct)","2m Rain tot (in)","2m Rain max over 15min (in)","SolRad avg2m  (w/m^2)","BP avg (mb)","N (# obs)"
"Live Oak","6 Sep 2022","81.87","72.61","91.27","86.21","80.02","93.49","75.64","82","0","0","221.22","1011","96"
"Live Oak","7 Sep 2022","81.3","75.15","88.65","87.74","82.56","93.07","75.34","82","0","0","185.66","1008","96"
"Live Oak","8 Sep 2022","78.12","72.01","86.22","85.63","83.21","88.43","75.17","89","0.75","0.36","112.86","1003","96"
"Live Oak","9 Sep 2022","75.6","72.01","82.22","82.37","79.9","85.5","74.36","93","0.31","0.19","116.75","1004","96"
"Live Oak","10 Sep 2022","76.29","72.68","83.3","81.14","78.96","83.26","74.94","93","0.25","0.09","106.73","1010","96"
"Live Oak","11 Sep 2022","78.45","72.75","87.19","81.91","78.28","86.41","75.72","89","0","0","158.3","1012","96"
"Live Oak","12 Sep 2022","77.21","74.08","83.43","82.01","79.63","84.76","75.96","93","0.07","0.02","107.72","1009","96"
"Live Oak","13 Sep 2022","76.5","72.03","81.7","80.53","77.4","83.68","74.76","92","0","0","118.25","1008","96"
"Live Oak","14 Sep 2022","77.69","69.33","86.27","82.26","76.59","88.81","69.89","77","0","0","208.26","1010","96"
"Live Oak","15 Sep 2022","76.11","67.19","85.37","83.27","77.25","90.09","67.96","77","0","0","225.77","1013","96"
"Live Oak","16 Sep 2022","77.24","70.77","85.35","84.63","79.14","91.17","70.66","79","0","0","197.92","1014","96"
"Live Oak","17 Sep 2022","78.21","71.24","86.85","85.45","80.01","91.08","72.44","82","0","0","198.19","1013","96"
"Live Oak","18 Sep 2022","76.09","70.93","84.13","84.88","80.64","89.08","72.28","86","0","0","162.82","1010","96"
"Live Oak","19 Sep 2022","76.22","70.29","86.56","84.13","80.01","90.16","72.94","88","0.14","0.14","168.46","1009","96"
"Live Oak","20 Sep 2022","78.76","70.93","89.47","83.9","78.21","91.02","71.83","81","0","0","228.25","1009","96"
"Live Oak","21 Sep 2022","78.28","68.22","89.42","85.09","78.71","92.34","70.36","78","0","0","222.22","1008","96"
"Live Oak","22 Sep 2022","79.12","68.23","91.47","86.53","79.74","94.44","70.47","77","0","0","230.63","1007","96"
"Live Oak","23 Sep 2022","76.8","69.03","82.92","86.96","82.51","91.89","69.48","77","0","0","210.92","1009","96"
"Live Oak","24 Sep 2022","73.89","63.59","84.74","85.02","78.82","92.19","64.53","73","0","0","230.43","1012","96"
"Live Oak","25 Sep 2022","74.73","63.23","87.17","85.48","79.3","92.34","65.97","77","0","0","220.51","1009","96"
"Live Oak","26 Sep 2022","77.82","64.53","90.21","86.18","80.17","92.75","69.08","77","0","0","210.16","1007","96"
"Live Oak","27 Sep 2022","73.76","67.48","82.22","84.85","80.73","88.79","58.74","60","0","0","175.82","1009","96"
"Live Oak","28 Sep 2022","66.97","62.13","71.08","79.29","77.45","83.86","53.13","60","0","0","77.99","1009","96"
"Live Oak","29 Sep 2022","67.56","64.08","71.6","77","74.98","79.27","51.78","56","0","0","104.61","1006","96"
"Live Oak","30 Sep 2022","68.8","63.46","75.56","77.72","73.98","82.22","58.84","69","0","0","164.07","1004","96"
"Live Oak","1 Oct 2022","69.68","57.76","82.87","78.39","72.77","84.65","60.46","75","0","0","225.08","1006","96"
"Live Oak","2 Oct 2022","70.46","59.56","82.11","78.76","73.36","84.54","58.83","68","0","0","226.71","1008","96"
"Live Oak","3 Oct 2022","64.55","58.33","73.33","78.23","73.63","82.98","58.59","80","0","0","215.9","1011","96"
"Live Oak","4 Oct 2022","65.24","56.68","76.05","77.35","72.63","82.58","54.03","69","0","0","222.87","1012","96"
"Live Oak","5 Oct 2022","65.57","51.08","80.62","76.55","70.47","83.1","54.76","72","0","0","229.4","1012","96"
"Live Oak","6 Oct 2022","69.53","53.74","84.76","77.57","71.76","83.93","56.83","70","0","0","219.92","1013","96"
"Live Oak","7 Oct 2022","70.72","55.47","86.72","78","72.21","84.34","56.27","68","0","0","218.18","1014","96"
"Live Oak","8 Oct 2022","70.65","54.21","86.52","78.25","72.52","84.49","57.71","69","0","0","210.19","1014","96"
"Live Oak","9 Oct 2022","70.61","58.08","85.66","78.85","73.72","84.4","57.14","66","0","0","199.81","1015","96"
"Live Oak","10 Oct 2022","69.78","55.56","84.76","78.42","72.99","84.2","56.13","66","0","0","209.85","1015","96"
"Live Oak","11 Oct 2022","72.42","65.59","82.22","79","75.67","83.75","68.47","87","0","0","146.3","1016","96"
"Live Oak","12 Oct 2022","76.61","70.7","85.26","80.9","78.03","84.79","71.85","84","0","0","127.12","1012","96"
"Live Oak","13 Oct 2022","74.97","68.02","85.95","81","77.34","85.41","69.52","84","0.15","0.04","167.52","1006","96"
"Live Oak","14 Oct 2022","70.05","60.03","83.28","78.12","72.37","84.72","57.13","69","0","0","209.43","1009","96"
"Live Oak","15 Oct 2022","68.13","54.23","83.44","76.84","70.36","84.07","56.14","72","0","0","205.05","1013","96"
"Live Oak","16 Oct 2022","70.25","55.11","86.38","77.49","71.06","84.63","59.04","73","0","0","156.82","1012","96"
"Live Oak","17 Oct 2022","72.8","61.95","84.51","78.88","74.01","84.52","65.39","79","0","0","124.85","1006","96"
"Live Oak","18 Oct 2022","63.72","51.46","70.63","78.07","74.71","81.36","47.36","58","0","0","153.29","1006","96"
"Live Oak","19 Oct 2022","50.73","40.74","62.55","71","66.07","75.36","35.64","58","0.03","0.03","202.84","1014","96"
"Live Oak","20 Oct 2022","52.39","37.28","68.99","68.17","62.46","74.19","38.38","66","0","0","206.37","1013","96"
"Live Oak","21 Oct 2022","55.47","39.8","70.9","67.71","62.15","73.67","39.27","63","0","0","200.15","1013","96"
"Live Oak","22 Oct 2022","58.27","41.01","75.04","67.73","62.24","73.69","42.46","65","0","0","201.27","1014","96"
"Live Oak","23 Oct 2022","61.82","43.49","79.81","68.71","62.82","75.43","51.04","73","0","0","194.5","1014","96"
"Live Oak","24 Oct 2022","66.02","51.51","80.98","71.08","65.75","77.27","55.28","75","0","0","192.16","1014","96"
"Live Oak","25 Oct 2022","68.12","51.39","83.8","72.35","67.1","78.13","59.76","77","0","0","165.5","1010","96"
"Live Oak","26 Oct 2022","71.34","60.67","81.66","74.89","72.28","79.02","66.34","85","0","0","124.75","1006","96"
"Live Oak","27 Oct 2022","66.75","53.1","81.75","73.48","68.34","79.03","57.92","75","0","0","186.75","1009","96"
"Live Oak","28 Oct 2022","68.44","64.49","75.76","74.77","72.77","77.5","65.72","88","0","0","92.84","1015","96"
"Live Oak","29 Oct 2022","65.94","64.15","69.48","73.46","72.09","74.89","64.4","92","0","0","53.37","1016","96"
"Live Oak","30 Oct 2022","68.52","62.98","79.68","73.77","71.22","77.79","66.05","90","0","0","109.93","1012","96"
"Live Oak","31 Oct 2022","74.39","67.51","85.41","76.38","73.13","81.12","68.74","82","0","0","137.49","1010","96"
"Live Oak","1 Nov 2022","71.8","62.17","82.96","77.24","73.11","81.88","63.64","76","0","0","167.31","1014","96"
"Live Oak","2 Nov 2022","71.52","60.62","84.04","76.45","72.16","80.67","63.17","76","0","0","137.58","1016","96"
"Live Oak","3 Nov 2022","71.19","63.55","80.51","77.42","74.21","81.52","62.66","75","0","0","164.66","1016","96"
"Live Oak","4 Nov 2022","68.58","58.23","80.19","75.4","71.01","79.65","62.22","80","0","0","160.76","1015","96"
"Live Oak","5 Nov 2022","72.7","63.9","83.77","76.27","72.99","79.83","68.33","85","0","0","113.65","1011","96"
"Live Oak","6 Nov 2022","75.35","68.79","87.1","77.95","74.75","82.06","71.11","86","0","0","123.47","1012","96"
"Live Oak","7 Nov 2022","73.63","65.61","84.38","78.3","74.39","82.4","66.16","78","0","0","160.47","1016","96"
"Live Oak","8 Nov 2022","71.42","63.77","82.78","76.88","73.42","80.56","56.71","63","0","0","155.3","1016","96"
"Live Oak","9 Nov 2022","63.42","58.1","66.85","73.76","71.69","75.97","52.23","65","0","0","100.35","1015","96"
"Live Oak","10 Nov 2022","67.23","63.84","73.44","71.54","70.18","73.53","64.91","90","2.15","0.16","19.52","998","96"
"Live Oak","11 Nov 2022","71.37","67.44","77.63","71.23","69.8","73.54","69.21","91","0.37","0.06","70.68","1002","96"
"Live Oak","12 Nov 2022","69.76","62.98","79.12","70.9","67.53","74.91","65.01","84","0","0","149.43","1008","96"
"Live Oak","13 Nov 2022","58.19","45.88","67.15","68.65","63.36","70.93","50.49","75","0.01","0.01","129.35","1012","96"
"Live Oak","14 Nov 2022","55.11","43.42","68.13","63.04","57.27","68.92","50.54","82","0","0","152.2","1015","96"
"Live Oak","15 Nov 2022","66.59","59.02","75.36","67.42","64.83","70.97","65.34","93","0","0","68.35","1013","96"
"Live Oak","16 Nov 2022","60.28","49.89","71.04","68.06","63.3","70.23","55.84","83","0.72","0.46","125.28","1014","96"
"Live Oak","17 Nov 2022","49.11","45.68","52.16","60.3","57.18","63.07","37.93","64","0","0","124.77","1019","96"
"Live Oak","18 Nov 2022","46.84","37.52","57.42","57.68","52.74","63.12","33.58","63","0","0","166.89","1020","96"
"Live Oak","19 Nov 2022","50.32","41.02","58.98","56.57","53.04","60.93","40.12","68","0","0","86.02","1020","96"
"Live Oak","20 Nov 2022","47.98","44.74","51.22","56.06","53.65","58.15","44.33","84","0.06","0.02","25.46","1021","96"
"Live Oak","21 Nov 2022","55.26","42.63","68.34","56.51","50.52","63.39","49.96","79","0","0","137.69","1020","96"
"Live Oak","22 Nov 2022","60.55","54.59","68.5","61.8","58.98","65.84","57.88","88","0","0","77.63","1019","96"
"Live Oak","23 Nov 2022","64.26","58.78","72","64.92","61.23","70.02","59.77","82","0","0","111.7","1015","96"
"Live Oak","24 Nov 2022","67.32","63.28","74.16","67.78","65.19","71.46","65.67","91","0","0","71.91","1014","96"
"Live Oak","25 Nov 2022","70.99","65.5","79.07","70.43","68.11","73.51","69.5","93","0","0","58.56","1011","96"
"Live Oak","26 Nov 2022","67.45","63.05","73.89","70.08","68.14","72.07","66.15","93","0","0","51.89","1012","96"
"Live Oak","27 Nov 2022","69.63","56.05","76.5","70.35","66.85","73.67","66.18","88","0.04","0.02","80.56","1008","96"
"Live Oak","28 Nov 2022","63.19","52.29","75.29","66.07","60.44","72","57.35","83","0","0","143.18","1011","96"
"Live Oak","29 Nov 2022","64.52","51.66","77.94","66.62","61.2","72.41","58","81","0","0","122.34","1014","96"
"Live Oak","30 Nov 2022","65.58","60.26","76.19","67","64.96","68.85","63.74","92","0.61","0.4","52.96","1014","96"
"Live Oak","1 Dec 2022","54.42","43.77","64.65","60.65","56.1","65.23","45.13","70","0","0","148.62","1022","96"
"Live Oak","2 Dec 2022","58.3","44.42","73.36","59.22","53.96","64.78","52.1","80","0","0","134.93","1023","96"
"Live Oak","3 Dec 2022","65.34","51.39","78.85","62.87","57.34","68.94","58.63","82","0","0","136.43","1021","96"
"Live Oak","4 Dec 2022","66.62","60.42","75.16","65.88","62.49","70.21","63.09","89","0","0","85.41","1016","96"
"Live Oak","5 Dec 2022","65.91","62.62","73.47","67.67","65.73","71.02","64.02","92","0","0","83.08","1014","96"
"Live Oak","6 Dec 2022","67.03","56.93","80.44","67.85","63.21","73.76","62.39","87","0","0","129.73","1017","96"
"Live Oak","7 Dec 2022","68.15","57.47","81.95","68.76","64.17","74.26","62.56","85","0","0","128.47","1020","96"
"Live Oak","8 Dec 2022","69.44","61.7","80.47","69.95","65.41","75.83","63.85","85","0","0","138.08","1017","96"
"Live Oak","9 Dec 2022","66.25","57.06","76.86","68.88","64.4","73.58","61.91","87","0","0","125.84","1015","96"
"Live Oak","10 Dec 2022","62.86","56.88","67.39","67.13","64.9","69.06","61.74","94","0","0","48.91","1015","96"
"Live Oak","11 Dec 2022","60.98","55.9","66.31","66.52","64.99","68.2","59.65","93","0","0","42.64","1015","96"
"Live Oak","12 Dec 2022","60.18","53.31","68.59","65.36","61.81","70","57.56","89","0","0","105.22","1013","96"
"Live Oak","13 Dec 2022","60.43","56.48","67.51","65.27","62.37","67.84","56.39","84","0","0","79.88","1014","96"
"Live Oak","14 Dec 2022","65.31","53.65","77.65","65.93","62.1","70.86","60.63","84","0","0","101.52","1010","96"
"Live Oak","15 Dec 2022","65.57","52.77","71.15","67.35","62.2","69.89","61.01","85","0.28","0.06","71.66","1006","96"
"Live Oak","16 Dec 2022","52.55","42.48","62.91","59","54.66","63.1","41.98","71","0","0","142.71","1012","96"
"Live Oak","17 Dec 2022","51.15","36.9","65.35","56.12","51.08","60.64","42.52","76","0","0","100.16","1012","96"
"Live Oak","18 Dec 2022","48.53","38.8","56.84","56.21","52.41","60.39","33.36","58","0","0","147.03","1016","96"
"Live Oak","19 Dec 2022","49.42","34.71","64.33","53.43","47.14","59.85","40.4","70","0","0","142.18","1020","96"
"Live Oak","20 Dec 2022","50.86","48.76","52.77","55.69","54.54","56.68","49.22","91","0.17","0.08","24.92","1019","96"
"Live Oak","21 Dec 2022","49.73","46.71","52.88","54.68","53.33","55.87","49.21","95","0.04","0.01","37.04","1016","96"
"Live Oak","22 Dec 2022","52.07","47.01","59.02","55.99","53.58","59.02","51.48","94","0.03","0.02","60.11","1011","96"
"Live Oak","23 Dec 2022","46.48","28.82","58.44","56.27","48.72","58.06","33.31","62","0.01","0.01","142.17","1013","96"
"Live Oak","24 Dec 2022","27.86","21.51","35.78","45.16","41.81","48.58","10.88","47","0","0","145.81","1022","96"
"Live Oak","25 Dec 2022","32.44","22.1","44.16","43","39.19","47.89","15.89","52","0","0","141.76","1021","96"
"Live Oak","26 Dec 2022","35.99","22.22","49.41","43.69","39.12","49.32","21.09","62","0","0","142.74","1020","96"
"Live Oak","27 Dec 2022","41.73","27.43","57.49","45.53","40.2","52.11","27.31","65","0.02","0.02","143.95","1020","96"
"Live Oak","28 Dec 2022","48.16","30.27","67.1","47.66","41.39","54.91","35.6","70","0","0","147.57","1020","96"
"Live Oak","29 Dec 2022","57.96","44.12","72.68","52.16","46.2","58.6","50.57","80","0","0","122.58","1020","96"
"Live Oak","30 Dec 2022","63.22","49.77","76.73","57.66","52.52","63.01","54.76","78","0.02","0.02","118.59","1016","96"
"Live Oak","31 Dec 2022","66.58","61.65","71.29","61.83","59.34","65.25","65.61","94","0.52","0.11","37.8","1012","96"
"Live Oak","1 Jan 2023","63.14","58.37","70.56","62.5","60.46","65.57","62.39","97","0","0","53.53","1014","96"
"Live Oak","2 Jan 2023","64.27","55.35","78.75","63.07","59.14","68.32","62.12","92","0","0","113.09","1017","96"
"Live Oak","3 Jan 2023","70.16","63.07","79.43","64.99","61.36","69.35","66.3","86","0.01","0.01","116.3","1014","96"
"Live Oak","4 Jan 2023","68.84","65.37","75.51","66.74","65.41","68.5","68.08","95","1.23","0.51","22.59","1011","96"
"Live Oak","5 Jan 2023","64.51","51.96","72.45","65.89","62.06","68.65","57.08","79","0","0","134","1015","96"
"Live Oak","6 Jan 2023","51.89","42.33","62.64","58.54","54.3","62.49","39.74","69","0","0","152.77","1019","96"
"Live Oak","7 Jan 2023","51.31","36.84","69.94","56.12","50.59","62.38","39.57","71","0","0","150.43","1020","96"
"Live Oak","8 Jan 2023","56.18","39.32","70.61","57.07","51.13","63.28","45.95","72","0","0","142.59","1018","96"
"Live Oak","9 Jan 2023","58.98","50.43","66.9","60.52","56.68","65.86","50.62","75","0","0","148.99","1014","96"
"Live Oak","10 Jan 2023","51.82","40.31","65.77","57.72","53.15","63.09","42.82","75","0","0","137.54","1014","96"
"Live Oak","11 Jan 2023","57.67","39.89","73.94","57.59","51.39","64.51","50.45","80","0","0","141.7","1015","96"
"Live Oak","12 Jan 2023","64.87","54.9","76.14","61.69","56.95","67.23","52.93","68","0","0","149.87","1012","96"
"Live Oak","13 Jan 2023","51.67","40.34","63.64","59.09","51.55","64.15","46.94","82","0.54","0.17","64.69","1008","96"
"Live Oak","14 Jan 2023","41.26","36.36","48.56","49.21","45.46","53.08","32.29","69","0","0","153.78","1014","96"
"Live Oak","15 Jan 2023","41.67","29.3","56.48","47.9","42.3","54.61","31.88","71","0","0","162.32","1016","96"
"Live Oak","16 Jan 2023","47.62","30.27","66.27","49.86","43.24","57.38","33.87","66","0","0","164.64","1014","96"
"Live Oak","17 Jan 2023","56.78","39.49","72.99","53.68","47.19","60.62","49.03","78","0","0","136.75","1010","96"
"Live Oak","18 Jan 2023","64.21","57.99","74.55","59.67","56.17","64.35","59.96","86","0","0","77.9","1012","96"
"Live Oak","19 Jan 2023","67.54","58.33","77.95","61.88","57.15","66.81","63.58","86","0.14","0.09","102.64","1011","96"
"Live Oak","20 Jan 2023","60.53","52.21","69.19","62.23","58.42","65.17","49.82","72","0","0","152.04","1014","96"
"Live Oak","21 Jan 2023","50.77","47.19","53.11","55.96","54.45","59.5","45.84","82","0.03","0.01","27.16","1015","96"
"Live Oak","22 Jan 2023","62.86","51.93","75.33","59.45","55.47","64.6","61.34","92","0.44","0.15","61.28","1006","96"
"Live Oak","23 Jan 2023","53.75","41.48","59.36","59.47","55.81","62.33","47.03","77","0.01","0.01","163.36","1015","96"
"Live Oak","24 Jan 2023","51.75","38.05","65.89","54.35","48.63","59.65","45.59","78","0","0","155.14","1018","96"
"Live Oak","25 Jan 2023","65.43","55.22","75.9","59.87","56.53","63.45","62.55","88","0.72","0.2","34.54","1008","96"
"Live Oak","26 Jan 2023","49.33","41.27","59.16","57.56","53.91","61.52","42.82","78","0.01","0.01","173.02","1016","96"
"Live Oak","27 Jan 2023","44.72","33.84","56.57","52.29","47.52","57.43","34.52","72","0","0","173.21","1022","96"
"Live Oak","28 Jan 2023","48.8","33.75","61.66","51.57","45.38","57.87","36.77","68","0","0","169.72","1023","96"
"Live Oak","29 Jan 2023","63.09","51.96","75.76","58.41","54.68","63.36","58.58","84","0.01","0.01","78.15","1018","96"
"Live Oak","30 Jan 2023","69.93","62.74","80.42","65.02","60.71","70.7","66.74","88","0","0","135.35","1016","96"
"Live Oak","31 Jan 2023","70.38","65.64","79.21","68.51","65.35","73.8","67.37","89","0","0","121.55","1016","96"
"Live Oak","1 Feb 2023","67.29","59.72","76.23","68.48","64.71","73.6","64.7","90","0","0","123.73","1016","96"
"Live Oak","2 Feb 2023","67.91","62.38","77.4","69.66","65.86","75.04","64.78","87","0","0","145.87","1014","96"
"Live Oak","3 Feb 2023","56.54","48.07","70.07","65.12","58.06","70.81","51","81","0.39","0.13","94.52","1016","96"
"Live Oak","4 Feb 2023","51.13","38.97","63.77","55.98","50.43","61.34","43.06","71","0","0","162.25","1024","96"
"Live Oak","5 Feb 2023","57.86","49.86","70.5","59.64","56.01","65.37","54.01","86","0","0","124.21","1018","96"
"Live Oak","6 Feb 2023","59.43","51.37","72.03","61.72","56.98","68.4","47.55","70","0","0","185.66","1016","96"
"Live Oak","7 Feb 2023","60.01","44.21","75.76","60.93","53.96","68.61","48.94","72","0","0","171.5","1019","96"
"Live Oak","8 Feb 2023","66.6","54.16","77.85","64.87","58.77","72.21","56.1","71","0","0","171.41","1019","96"
"Live Oak","9 Feb 2023","67.6","57.78","78.44","66.72","61.61","72.5","62.29","82","0.17","0.12","134.24","1016","96"
"Live Oak","10 Feb 2023","65.67","63.48","72.25","66.83","65.77","68.25","65.32","96","0.59","0.18","27.88","1014","96"
"Live Oak","11 Feb 2023","60.89","53.78","68.23","63.53","61.72","65.79","60.8","96","1.47","0.14","19.23","1009","96"
"Live Oak","12 Feb 2023","53.38","47.41","57.88","60.29","56.8","63.99","48.45","80","0","0","105.02","1007","96"
"Live Oak","13 Feb 2023","53.03","39.71","68.18","56.85","50.85","63.77","40.51","67","0","0","201.34","1012","96"
"Live Oak","14 Feb 2023","57.51","39.43","75.7","58.4","51.35","66.52","41.88","65","0","0","194.47","1013","96"
"Live Oak","15 Feb 2023","62.78","46.2","77.49","62.01","54.97","70.27","55.03","78","0","0","180.55","1015","96"
"Live Oak","16 Feb 2023","67.48","54.77","79.68","65.87","60.39","72.73","59.93","79","0","0","157.58","1014","96"
"Live Oak","17 Feb 2023","64.67","50.97","76.98","66.39","61.99","70","60.97","86","0.15","0.12","74.29","1012","96"
"Live Oak","18 Feb 2023","48","36.08","60.13","57.7","51.8","62.89","38.21","67","0","0","211.21","1022","96"
"Live Oak","19 Feb 2023","58","42.52","73.45","59","52.23","67.14","51.2","78","0","0","159.77","1019","96"
"Live Oak","20 Feb 2023","62.73","53.69","74.28","63.54","58.1","70.36","56.31","80","0","0","178.42","1013","96"
"Live Oak","21 Feb 2023","69.35","61.21","79.12","67.05","62.74","72.64","65.01","85","0","0","126","1010","96"
"Live Oak","22 Feb 2023","72.23","66.27","82.22","70.71","66.34","76.84","66.16","81","0","0","165.46","1013","96"
"Live Oak","23 Feb 2023","72.93","65.75","82.76","72.01","67.78","77.59","66.45","81","0.02","0.02","144.99","1017","96"
"Live Oak","24 Feb 2023","72.61","65.14","83.75","74.41","70.16","80.42","65.67","82","0","0","174.57","1019","96"
"Live Oak","25 Feb 2023","69.25","62.92","80.31","73.94","70.32","78.85","63.02","84","0","0","144.51","1018","96"
"Live Oak","26 Feb 2023","70.34","63.1","81.54","74.42","69.85","80.4","61.97","78","0","0","185.85","1013","96"
"Live Oak","27 Feb 2023","69.86","62.73","78.28","73.83","70","78.1","62.96","80","0","0","166.01","1009","96"
"Live Oak","28 Feb 2023","74.81","71.02","81.93","75.33","72.25","79.07","67.43","79","0","0","127.03","1007","96"
"Live Oak","1 Mar 2023","72.89","67.05","81.63","75.76","72.57","80.2","66.28","81","0","0","140.32","1011","96"
"Live Oak","2 Mar 2023","71.95","65.05","81.57","74.97","70.88","79.61","63.34","78","0","0","163.28","1007","96"
"Live Oak","3 Mar 2023","72.45","62.22","81.03","73.95","70.36","77.31","65.13","80","0","0","119.53","1003","96"
"Live Oak","4 Mar 2023","75.08","64.98","81.48","76.29","73.51","80.53","65.47","74","0.04","0.02","138.43","1006","96"
"Live Oak","5 Mar 2023","69.85","57.61","83.44","75.22","68.23","82.92","56.59","69","0","0","220.61","1013","96"
"Live Oak","6 Mar 2023","70.16","59.36","83.71","76.48","70.86","83.34","59.47","75","0","0","196.49","1013","96"
"Live Oak","7 Mar 2023","73.91","66.63","83.79","77.63","73.02","83.23","65.39","78","0","0","184.7","1011","96"
"Live Oak","8 Mar 2023","66.64","54.39","74.3","76.49","71.94","81.68","51.01","60","0","0","214.82","1014","96"
"Live Oak","9 Mar 2023","62.51","49.44","75.65","73.17","67.84","78.76","48.56","65","0","0","180.8","1015","96"
"Live Oak","10 Mar 2023","66.23","58.73","77.99","72.09","69.51","75.78","60.01","82","0.78","0.4","96.95","1010","96"
"Live Oak","11 Mar 2023","61.89","51.26","75.63","68.95","63.72","74.53","47.43","68","0","0","242.17","1008","96"
"Live Oak","12 Mar 2023","62.79","48.61","77.52","66.77","61.61","72.16","57.12","84","1.7","0.53","142.8","1005","93"
